Legend:,,,,Player,Age,MP,Start,Min,Gls,A,PK,PKatt,CrdY,CrdR,G*,A*,G*+A*,G*-PK*,G*+A*-PK*,xG,NPxG,xA,xG*,xA*,xG*+xA*,NPxG*,NPxG*+xA*,Total Points,Conceded,CleanSheets,CleanSheets*,PenMiss,PenMiss*,YC*,RC*,,
* = per 90,,,0,Patrick van Aanholt,27,36,36,3195,3,2,0,0,3,0,0.08,0.06,0.14,0.08,0.14,2.7,2.7,3.9,0.08,0.11,0.19,0.08,0.19,140,46,12,0.34,0,0.000,0.085,0.000,,
NP = nonpen,,,1,Sergio Agüero,30,33,31,2459,21,8,2,2,4,0,0.77,0.29,1.06,0.7,0.99,20.7,19.2,5.5,0.76,0.2,0.96,0.7,0.91,201,15,17,0.62,0,0.000,0.146,0.000,,
,,,2,Nathan Aké,23,38,38,3411,4,0,0,0,3,0,0.11,0,0.11,0.11,0.11,3.4,3.4,0.8,0.09,0.02,0.11,0.09,0.11,120,70,10,0.26,0,0.000,0.079,0.000,,
,,,3,Marc Albrighton,28,27,18,1625,2,2,0,0,3,0,0.11,0.11,0.22,0.11,0.22,1.1,1.1,3.1,0.06,0.17,0.23,0.06,0.23,63,17,5,0.28,0,0.000,0.166,0.000,,
,,,4,Toby Alderweireld,29,34,33,2922,0,0,0,0,3,0,0,0,0,0,0,1.1,1.1,0.6,0.03,0.02,0.05,0.03,0.05,107,31,12,0.37,0,0.000,0.092,0.000,,
,,,5,Trent Alexander-Arnold,19,29,27,2462,1,12,0,0,3,0,0.04,0.44,0.48,0.04,0.48,1.5,1.5,6.1,0.05,0.22,0.28,0.05,0.28,185,14,16,0.58,0,0.000,0.110,0.000,,
,,,6,Alisson Ramses Becker,25,38,38,3420,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,22,21,0.55,0,0.000,0.026,0.000,,
,,,7,Dele Alli,22,25,22,1825,5,3,0,0,4,0,0.25,0.15,0.39,0.25,0.39,5.3,5.3,2.4,0.26,0.12,0.38,0.26,0.38,94,21,8,0.39,0,0.000,0.197,0.000,,
,,,8,Miguel Almirón,24,10,9,759,0,0,0,0,0,0,0,0,0,0,0,1.7,1.6,0.8,0.2,0.1,0.3,0.19,0.29,28,11,3,0.36,0,0.000,0.000,0.000,,
,,,9,Marcos Alonso,27,31,31,2759,2,4,0,0,6,0,0.07,0.13,0.2,0.07,0.2,2.7,2.7,3.9,0.09,0.13,0.22,0.09,0.22,161,28,14,0.46,0,0.000,0.196,0.000,,
,,,10,Daniel Amartey,23,9,7,641,0,0,0,0,2,0,0,0,0,0,0,0.4,0.4,0.2,0.05,0.02,0.08,0.05,0.08,15,9,1,0.14,0,0.000,0.281,0.000,,
,,,11,Luke Amos,21,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00,0,0.000,0.000,0.000,,
,,,12,Felipe Anderson Pereira Gomes,25,36,36,3043,9,4,0,0,3,0,0.27,0.12,0.38,0.27,0.38,5.2,5.2,6.7,0.16,0.2,0.35,0.16,0.35,155,49,7,0.21,0,0.000,0.089,0.000,,
,,,13,Florin Andone,25,23,8,881,3,0,0,0,5,0,0.31,0,0.31,0.31,0.31,2.2,2.2,0.1,0.23,0.01,0.24,0.23,0.24,38,14,2,0.20,0,0.000,0.511,0.000,,
,,,14,Michail Antonio,28,33,22,2103,6,4,0,0,3,0,0.26,0.17,0.43,0.26,0.43,7.4,7.4,3.4,0.32,0.15,0.46,0.32,0.46,118,30,7,0.30,0,0.000,0.128,0.000,,
,,,15,Stuart Armstrong,26,29,16,1432,3,2,0,0,2,0,0.19,0.13,0.31,0.19,0.31,2.3,2.3,1.4,0.15,0.09,0.24,0.15,0.24,75,26,5,0.31,0,0.000,0.126,0.000,,
,,,16,Marko Arnautovic,29,28,24,1990,10,4,1,1,3,0,0.45,0.18,0.63,0.41,0.59,9.5,8.7,3.6,0.43,0.16,0.59,0.4,0.56,117,34,4,0.18,0,0.000,0.136,0.000,,
,,,17,Kepa Arrizabalaga,23,36,36,3240,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,39,14,0.39,0,0.000,0.056,0.000,,
,,,18,Harry Arter,28,25,24,1997,0,1,0,0,10,0,0,0.05,0.05,0,0.05,1.2,1.2,0.7,0.05,0.03,0.08,0.05,0.08,48,39,7,0.32,0,0.000,0.451,0.000,,
,,,19,Christian Atsu,26,28,15,1493,1,0,0,0,2,0,0.06,0,0.06,0.06,0.06,2,2,1.2,0.12,0.07,0.2,0.12,0.2,55,18,6,0.36,0,0.000,0.121,0.000,,
,,,20,Pierre-Emerick Aubameyang,29,36,30,2726,22,5,4,5,0,0,0.73,0.17,0.89,0.59,0.76,20.7,16.8,4.2,0.68,0.14,0.82,0.55,0.69,205,42,7,0.23,1,0.033,0.000,0.000,,
,,,21,Serge Aurier,25,8,6,564,0,2,0,0,1,0,0,0.32,0.32,0,0.32,0.1,0.1,0.5,0.02,0.08,0.09,0.02,0.09,24,9,2,0.32,0,0.000,0.160,0.000,,
